Movie Rank,Movie Name,Year Released,Gross Aount(Millions),Rating from Top 250,
1,Avengers: Endgame,2019,858.37,78,
2,Spider-Man: No Way Home,2021,804.75,155,
3,Top Gun: Maverick,2022,718.73,123,
4,Avengers: Infinity War,2018,678.82,63,
5,The Dark Knight,2008,534.86,3,
6,The Dark Knight Rises,2012,448.14,69,
7,The Lion King,1994,422.78,37,
8,Toy Story 3,2010,415,87,
9,Jurassic Park,1993,402.45,144,
10,Harry Potter and the Deathly Hallows: Part 2,2011,381.01,180,
11,Finding Nemo,2003,380.84,154,
12,The Lord of the Rings: The Return of the King,2003,377.85,7,
13,Inside Out,2015,356.46,163,
14,The Lord of the Rings: The Two Towers,2002,342.55,13,
15,Joker,2019,335.45,76,
16,Forrest Gump,1994,330.25,11,
17,Star Wars: Episode IV - A New Hope,1977,322.74,28,
18,The Lord of the Rings: The Fellowship of the Ring,2001,315.54,9,
19,Star Wars: Episode VI - Return of the Jedi,1983,309.13,89,
20,Pirates of the Caribbean: The Curse of the Black Pearl,2003,305.41,231,
21,The Sixth Sense,1999,293.51,143,
22,Up,2009,293,110,
23,Inception,2010,292.58,14,
24,Star Wars: Episode V - The Empire Strikes Back,1980,290.48,15,
25,"Monsters, Inc.",2001,289.92,204,
26,The Incredibles,2004,261.44,228,
27,Jaws,1975,260,206,
28,Indiana Jones and the Raiders of the Lost Ark,1981,248.16,56,
29,The Exorcist,1973,232.91,226,
30,Logan,2017,226.28,216,
31,WALL·E,2008,223.81,57,
32,How to Train Your Dragon,2010,217.58,202,
33,Aladdin,1992,217.35,249,
34,Saving Private Ryan,1998,216.54,23,
35,Back to the Future,1985,210.61,30,
36,Coco,2017,209.73,73,
37,Batman Begins,2005,206.85,127,
38,Ratatouille,2007,206.45,214,
39,Terminator 2: Judgment Day,1991,204.84,29,
40,Gone with the Wind,1939,198.68,160,
41,Indiana Jones and the Last Crusade,1989,197.17,118,
42,Toy Story,1995,191.8,74,
43,Spider-Man: Into the Spider-Verse,2018,190.24,66,
44,Interstellar,2014,188.02,25,
45,Gladiator,2000,187.71,36,
46,Dances with Wolves,1990,184.21,250,
47,The Matrix,1999,171.48,16,
48,A Beautiful Mind,2001,170.74,145,
49,The Help,2011,169.71,248,
50,Gone Girl,2014,167.77,186,
51,Catch Me If You Can,2002,164.62,173,
52,The Sound of Music,1965,163.21,242,
53,Django Unchained,2012,162.81,55,
54,The Sting,1973,159.6,112,
55,1917,2019,159.23,122,
56,Mad Max: Fury Road,2015,154.06,199,
57,Gran Torino,2008,148.1,172,
58,Platoon,1986,138.53,215,
59,Good Will Hunting,1997,138.43,80,
60,The Green Mile,1999,136.8,27,
61,The Godfather,1972,134.97,2,
62,The Departed,2006,132.38,39,
63,The Silence of the Lambs,1991,130.74,22,
64,American Beauty,1999,130.1,67,
65,Shutter Island,2010,128.01,142,
66,The Truman Show,1998,125.62,137,
67,Inglourious Basterds,2009,120.54,70,
68,Ford v Ferrari,2019,117.62,210,
69,Rocky,1976,117.24,213,
70,The Wolf of Wall Street,2013,116.9,132,
71,One Flew Over the Cuckoo's Nest,1975,112,18,
72,Pulp Fiction,1994,107.93,8,
73,Unforgiven,1992,101.16,140,
74,Million Dollar Baby,2004,100.49,175,
75,Se7en,1995,100.13,19,
76,Schindler's List,1993,96.9,6,
77,Dead Poets Society,1989,95.86,203,
78,Aliens,1986,85.16,65,
79,Green Book,2018,85.08,133,
80,Apocalypse Now,1979,83.47,53,
81,Die Hard,1988,83.01,115,
82,Alien,1979,78.9,51,
83,Braveheart,1995,75.6,75,
84,Ben-Hur,1959,74.7,183,
85,No Country for Old Men,2007,74.28,149,
86,Groundhog Day,1993,70.91,227,
87,V for Vendetta,2005,70.51,158,
88,Kill Bill: Vol. 1,2003,70.1,150,
89,Heat,1995,67.44,108,
90,Hacksaw Ridge,2016,67.21,192,
91,L.A. Confidential,1997,64.62,116,
92,Prisoners,2013,61,169,
93,The Grand Budapest Hotel,2014,59.1,184,
94,Life Is Beautiful,1997,57.6,26,
95,The Godfather Part II,1974,57.3,4,
96,2001: A Space Odyssey,1968,56.95,90,
97,12 Years a Slave,2013,56.67,182,
98,"Three Billboards Outside Ebbing, Missouri",2017,54.51,166,
99,Parasite,2019,53.37,34,
100,The Prestige,2006,53.09,41,
101,Stand by Me,1986,52.29,219,
102,Amadeus,1984,51.97,72,
103,The Deer Hunter,1978,48.98,191,
104,Goodfellas,1990,46.84,17,
105,Full Metal Jacket,1987,46.36,105,
106,Scarface,1983,45.6,106,
107,Spotlight,2015,45.06,217,
108,The Bridge on the River Kwai,1957,44.91,168,
109,Lawrence of Arabia,1962,44.82,95,
110,The Shining,1980,44.02,61,
111,Casino,1995,42.44,136,
112,There Will Be Blood,2007,40.22,138,
113,The Terminator,1984,38.4,218,
114,Pan's Labyrinth,2006,37.63,139,
115,Fight Club,1999,37.03,12,
116,Rear Window,1954,36.76,50,
117,Eternal Sunshine of the Spotless Mind,2004,34.4,91,
118,Amélie,2001,33.23,102,
119,Blade Runner,1982,32.87,177,
120,The Pianist,2002,32.57,32,
121,Psycho,1960,32,33,
122,Snatch,2000,30.33,119,
123,The Shawshank Redemption,1994,28.34,1,
124,Taxi Driver,1976,28.26,117,
125,Rush,2013,26.95,220,
126,Memento,2000,25.54,54,
127,In the Name of the Father,1993,25.01,190,
128,Some Like It Hot,1959,25,129,
129,Fargo,1996,24.61,170,
130,The Best Years of Our Lives,1946,23.65,225,
131,Hotel Rwanda,2004,23.53,212,
132,Raging Bull,1980,23.38,159,
133,The Usual Suspects,1995,23.34,42,
134,The Iron Giant,1999,23.16,247,
135,Life of Brian,1979,20.05,246,
136,Léon: The Professional,1994,19.5,35,
137,The Apartment,1960,18.6,100,
138,Into the Wild,2007,18.35,224,
139,The Big Lebowski,1998,17.5,208,
140,Trainspotting,1996,16.5,167,
141,Cool Hand Luke,1967,16.22,241,
142,For a Few Dollars More,1965,15,126,
143,Room,2015,14.68,207,
144,The Thing,1982,13.78,153,
145,Warrior,2011,13.66,171,
146,North by Northwest,1959,13.28,99,
147,The Intouchables,2011,13.18,46,
148,Whiplash,2014,13.09,40,
149,Dangal,2016,12.39,125,
150,The Great Escape,1963,12.1,151,
151,Cinema Paradiso,1988,11.99,49,
152,Das Boot,1981,11.49,77,
153,The Lives of Others,2006,11.29,58,
154,Spirited Away,2001,10.06,31,
155,On the Waterfront,1954,9.6,185,
156,Mr. Smith Goes to Washington,1939,9.6,198,
157,Singin' in the Rain,1952,8.82,83,
158,Chinatown,1974,8.49,157,
159,Witness for the Prosecution,1957,8.18,64,
160,City of God,2002,7.56,24,
161,A Separation,2011,7.1,113,
162,Incendies,2010,6.86,107,
163,American History X,1998,6.72,38,
164,3 Idiots,2009,6.53,84,
