Movie Rank,Movie Name,Year Released,User Rating,Genre,Director,Gross Amount(Millions),Actor1,Actor2,Actor3,Actor4
1,The Shawshank Redemption,1994,R,Drama,Frank Darabont,28.34,Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler
2,The Godfather,1972,R,Crime,Francis Ford Coppola,134.97,Marlon Brando, Al Pacino, James Caan, Diane Keaton
3,The Dark Knight,2008,PG-13,Action,Christopher Nolan,534.86,Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine
4,Schindler's List,1993,R,Biography,Steven Spielberg,96.9,Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall
5,The Godfather Part II,1974,R,Crime,Francis Ford Coppola,57.3,Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton
6,12 Angry Men,1957,Approved,Crime,Sidney Lumet,4.36,Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler
7,The Lord of the Rings: The Return of the King,2003,PG-13,Action,Peter Jackson,377.85,Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom
8,Pulp Fiction,1994,R,Crime,Quentin Tarantino,107.93,John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis
9,Inception,2010,PG-13,Action,Christopher Nolan,292.58,Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe
10,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,Action,Peter Jackson,315.54,Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean
11,Fight Club,1999,R,Drama,David Fincher,37.03,Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier
12,Forrest Gump,1994,PG-13,Drama,Robert Zemeckis,330.25,Tom Hanks, Robin Wright, Gary Sinise, Sally Field
13,"The Good, the Bad and the Ugly",1966,Approved,Adventure,Sergio Leone,6.1,Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè
14,The Lord of the Rings: The Two Towers,2002,PG-13,Action,Peter Jackson,342.55,Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom
15,Jai Bhim,2021,TV-MA,Crime,T.J. Gnanavel,NULL,Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan
16,Interstellar,2014,PG-13,Adventure,Christopher Nolan,188.02,Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy
17,Goodfellas,1990,R,Biography,Martin Scorsese,46.84,Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco
18,The Matrix,1999,R,Action,Lana Wachowski,171.48,Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving
19,One Flew Over the Cuckoo's Nest,1975,R,Drama,Milos Forman,112,Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco
20,Star Wars: Episode V - The Empire Strikes Back,1980,PG,Action,Irvin Kershner,290.48,Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams
21,The Green Mile,1999,R,Crime,Frank Darabont,136.8,Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt
22,Star Wars: Episode IV - A New Hope,1977,PG,Action,George Lucas,322.74,Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness
23,Se7en,1995,R,Crime,David Fincher,100.13,Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker
24,The Silence of the Lambs,1991,R,Crime,Jonathan Demme,130.74,Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons
25,Saving Private Ryan,1998,R,Drama,Steven Spielberg,216.54,Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns
26,Spirited Away,2001,PG,Animation,Hayao Miyazaki,10.06,Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi
27,City of God,2002,R,Crime,Fernando Meirelles,7.56,Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen
28,Terminator 2: Judgment Day,1991,R,Action,James Cameron,204.84,Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick
29,Life Is Beautiful,1997,PG-13,Comedy,Roberto Benigni,57.6,Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano
30,Seven Samurai,1954,Not Rated,Action,Akira Kurosawa,0.27,Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki
31,It's a Wonderful Life,1946,PG,Drama,Frank Capra,NULL,James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell
32,Harakiri,1962,Not Rated,Action,Masaki Kobayashi,NULL,Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba
33,Léon: The Professional,1994,R,Action,Luc Besson,19.5,Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello
34,Parasite,2019,R,Drama,Bong Joon Ho,53.37,Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik
35,The Departed,2006,R,Crime,Martin Scorsese,132.38,Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg
36,Gladiator,2000,R,Action,Ridley Scott,187.71,Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed
37,Whiplash,2014,R,Drama,Damien Chazelle,13.09,Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser
38,Back to the Future,1985,PG,Adventure,Robert Zemeckis,210.61,Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover
39,Alien,1979,R,Horror,Ridley Scott,78.9,Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright
